ax,ay,az,gx,gy,gz,mx,my,mz,t_stamp
-0.020925652387986212,0.03197925669835782,1.008751948207649,0.45776367,-0.1296997065,0.137329101,161.1,-158.1,-63.3,11220
-0.02018709995076317,0.03272008889986418,1.005754705670783,-0.2212524405,0.1602172845,0.0,156.29999999999998,-155.7,-64.5,11447
-0.020433284096504186,0.03173231263118904,1.0106701834312433,-0.2670288075,0.45776367,-0.5264282205,158.7,-153.29999999999998,-63.9,11673
-0.019694731659281144,0.032596616866279786,1.008032609998801,0.0,0.061035156,0.0,168.29999999999998,-155.7,-62.699999999999996,11899
-0.020433284096504186,0.032843560933448576,1.007792830595852,-0.015258789,0.0,0.0534057615,158.7,-158.1,-63.3,12124
-0.02141802067946824,0.03407828126929251,1.0074331614914278,0.0381469725,0.030517578,0.0381469725,165.9,-158.1,-63.9,12349
-0.021048744460856722,0.03197925669835782,1.0062342644766815,-0.0076293945,0.106811523,0.030517578,165.9,-155.7,-63.3,12574
-0.021541112752338748,0.030991480429682677,1.0071933820884786,-0.045776367,0.106811523,-0.0228881835,165.9,-153.29999999999998,-63.9,12807
-0.021294928606597735,0.03185578466477343,1.0051552571634097,0.0,0.030517578,0.045776367,156.29999999999998,-158.1,-62.099999999999994,13093
-0.02018709995076317,0.033707865168539325,1.0075530511929025,-0.091552734,0.0686645505,-0.0076293945,161.1,-153.29999999999998,-63.3,13380
-0.019571639586410634,0.033707865168539325,1.008751948207649,0.0991821285,0.091552734,-0.0686645505,165.9,-158.1,-64.5,13665
-0.019571639586410634,0.029262871959501172,1.0062342644766815,0.061035156,0.0228881835,-0.0534057615,151.5,-153.29999999999998,-62.099999999999994,13952
-0.019448547513540127,0.02950981602666996,1.0046756983575111,-0.0686645505,0.106811523,0.015258789,158.7,-153.29999999999998,-63.9,14238
-0.020064007877892663,0.030497592295345103,1.0058745953722574,-0.0076293945,0.0686645505,0.0381469725,161.1,-158.1,-62.699999999999996,14525
-0.021541112752338748,0.03210272873194221,1.0040762498501379,0.061035156,0.0381469725,-0.0686645505,156.29999999999998,-160.5,-63.9,14811
-0.021048744460856722,0.03358439313495493,1.0062342644766815,0.0381469725,0.015258789,-0.076293945,163.5,-148.5,-63.9,15098
-0.022156573116691284,0.03173231263118904,1.0071933820884786,-0.0076293945,0.030517578,0.0076293945,153.9,-155.7,-62.699999999999996,15383
-0.020064007877892663,0.03296703296703297,1.007073492387004,0.045776367,0.091552734,0.0,165.9,-160.5,-62.699999999999996,15670
-0.01981782373215165,0.032473144832695394,1.006354154178156,0.0839233395,0.0228881835,0.0381469725,163.5,-158.1,-64.5,15957
-0.021664204825209258,0.03296703296703297,1.0047955880589858,0.0839233395,0.015258789,-0.076293945,158.7,-155.7,-64.5,16243
-0.019940915805022157,0.03309050500061736,1.008392279103225,0.0,0.0686645505,-0.0534057615,161.1,-158.1,-63.9,16529
-0.020064007877892663,0.031361896530435855,1.0085121688046996,-0.076293945,0.0839233395,0.0228881835,163.5,-158.1,-65.1,16815
-0.019571639586410634,0.03025064822817632,1.0062342644766815,-0.0381469725,0.061035156,-0.030517578,161.1,-155.7,-64.5,17101
-0.01932545544066962,0.030003704161007533,1.0079127202973264,0.045776367,0.091552734,-0.0381469725,156.29999999999998,-148.5,-63.3,17388
-0.021048744460856722,0.03185578466477343,1.0082723894017505,0.030517578,0.0534057615,0.061035156,156.29999999999998,-155.7,-62.099999999999994,17674
-0.01981782373215165,0.031361896530435855,1.0052751468648844,0.0534057615,0.061035156,-0.015258789,156.29999999999998,-153.29999999999998,-63.3,17960
-0.020433284096504186,0.03321397703420175,1.0059944850737321,0.106811523,0.0534057615,0.0,161.1,-155.7,-64.5,18246
-0.020064007877892663,0.03111495246326707,1.006354154178156,-0.0076293945,0.076293945,0.0228881835,161.1,-150.9,-64.5,18534
-0.019694731659281144,0.029880232127423138,1.0079127202973264,-0.045776367,0.0991821285,-0.015258789,158.7,-153.29999999999998,-62.699999999999996,18820
-0.019940915805022157,0.030003704161007533,1.0059944850737321,0.0,0.045776367,-0.0381469725,158.7,-150.9,-65.7,19106
-0.02141802067946824,0.032596616866279786,1.0089917276105982,0.0,0.106811523,0.0,163.5,-155.7,-64.5,19391
-0.021664204825209258,0.03333744906778615,1.0062342644766815,-0.015258789,0.1296997065,0.045776367,163.5,-153.29999999999998,-64.5,19679
-0.019202363367799114,0.03148536856402025,1.005754705670783,0.0381469725,0.076293945,0.0,158.7,-150.9,-64.5,19965
-0.020802560315115706,0.032843560933448576,1.0035966910442393,0.122070312,0.1144409175,0.061035156,161.1,-153.29999999999998,-63.9,20251
-0.020433284096504186,0.031608840597604645,1.0062342644766815,0.0839233395,0.030517578,0.0,158.7,-153.29999999999998,-62.099999999999994,20537
-0.01932545544066962,0.029386343993085567,1.007073492387004,0.0534057615,0.1602172845,-0.045776367,156.29999999999998,-153.29999999999998,-63.3,20824
-0.020802560315115706,0.03148536856402025,1.0052751468648844,-0.030517578,0.0839233395,0.0076293945,163.5,-155.7,-61.5,21112
-0.02141802067946824,0.031608840597604645,1.0053950365663589,-0.0228881835,0.106811523,0.0228881835,163.5,-162.9,-62.699999999999996,21399
-0.019202363367799114,0.031361896530435855,1.0068337129840548,0.0381469725,0.1754760735,0.0,161.1,-160.5,-64.5,21684
-0.01883308714918759,0.030497592295345103,1.005035367461935,-0.076293945,0.167846679,0.0381469725,163.5,-158.1,-63.3,21972
-0.01932545544066962,0.03025064822817632,1.0074331614914278,-0.0686645505,0.0686645505,0.0,165.9,-153.29999999999998,-63.3,22258
-0.020556376169374693,0.03185578466477343,1.0099508452223953,-0.015258789,0.0534057615,-0.0381469725,161.1,-158.1,-64.5,22544
-0.022156573116691284,0.03346092110137054,1.0069536026855292,0.1296997065,0.030517578,0.061035156,161.1,-162.9,-63.3,22829
-0.022525849335302807,0.03358439313495493,1.0068337129840548,0.0534057615,0.091552734,0.0076293945,158.7,-165.29999999999998,-63.3,23115
-0.02031019202363368,0.032596616866279786,1.007073492387004,0.0228881835,0.0686645505,-0.0228881835,158.7,-160.5,-63.3,23401
-0.020433284096504186,0.032843560933448576,1.005754705670783,-0.076293945,-0.0228881835,-0.030517578,156.29999999999998,-158.1,-63.3,23689
-0.0189561792220581,0.03469564143721447,1.004316029253087,-0.0228881835,0.0839233395,-0.045776367,161.1,-155.7,-63.9,23974
-0.019940915805022157,0.03272008889986418,1.0069536026855292,0.015258789,0.0,-0.0076293945,163.5,-158.1,-63.3,24260
-0.020556376169374693,0.030621064328929498,1.0069536026855292,0.0076293945,0.045776367,-0.0839233395,153.9,-153.29999999999998,-64.5,24545
-0.019940915805022157,0.033707865168539325,1.007073492387004,0.045776367,0.076293945,-0.091552734,161.1,-158.1,-63.3,24832
-0.020556376169374693,0.03197925669835782,1.0051552571634097,-0.015258789,-0.0534057615,-0.030517578,153.9,-155.7,-63.9,25117
-0.018340718857705565,0.03197925669835782,1.0053950365663589,0.0228881835,-0.0076293945,0.030517578,161.1,-155.7,-62.099999999999994,25403
