ax,ay,az,gx,gy,gz,mx,my,mz,t_stamp
0.009108813392417528,0.04716631682923818,1.0075530511929025,0.4501342755,-0.122070312,0.198364257,-124.5,-232.5,-69.3,11217
-0.01760216642048252,0.05445116681071737,1.005035367461935,-0.030517578,-0.228881835,0.5416870095,-129.29999999999998,-230.1,-69.3,11445
-0.012678483505662235,0.0593900481540931,1.0039563601486632,0.3280639635,-0.0076293945,0.4501342755,-126.89999999999999,-230.1,-68.1,11669
-0.03360413589364845,0.06185948882578096,1.008751948207649,0.1907348625,0.1907348625,-0.76293945,-131.7,-230.1,-68.1,11893
-0.023387493845396356,0.03580688973947401,1.003716580745714,-0.0228881835,0.1602172845,-2.0828246985,-129.29999999999998,-234.89999999999998,-68.1,12117
-0.021541112752338748,0.06593406593406594,1.0071933820884786,-0.045776367,0.0839233395,-0.885009762,-131.7,-232.5,-67.5,12341
-0.014155588380108322,0.020249413507840475,1.0064740438796307,-0.350952147,-0.0839233395,1.3809204045,-124.5,-225.29999999999998,-67.5,12565
-0.014155588380108322,0.020249413507840475,1.0064740438796307,-0.350952147,-0.0839233395,1.3809204045,-124.5,-225.29999999999998,-67.5,12789
-0.004431314623338257,-0.006790961847141622,1.0052751468648844,0.0228881835,-0.0228881835,0.885009762,-131.7,-230.1,-67.5,13014
-0.03975873953717381,0.075688356587233,1.005035367461935,0.213623046,0.183105468,-0.411987303,-122.1,-227.7,-67.5,13292
-0.008739537173806006,0.06753920237066305,1.0079127202973264,0.15258789,0.2212524405,-1.1062622025,-126.89999999999999,-227.7,-70.5,13577
-0.019079271294928608,0.07420669218422027,1.006354154178156,0.045776367,0.1907348625,-0.106811523,-126.89999999999999,-225.29999999999998,-68.7,13862
-0.004431314623338257,0.03765897024323991,1.0051552571634097,-0.1296997065,-0.015258789,0.2517700185,-122.1,-234.89999999999998,-68.7,14148
-0.0103397341211226,0.04259785158661563,1.005754705670783,-0.106811523,0.030517578,0.045776367,-129.29999999999998,-225.29999999999998,-69.89999999999999,14433
-0.022033481043820777,0.034819113470798864,1.0062342644766815,-0.0839233395,0.061035156,0.2212524405,-124.5,-227.7,-68.7,14718
-0.028557360905957656,0.031608840597604645,1.0065939335811054,0.030517578,0.122070312,0.061035156,-126.89999999999999,-230.1,-67.5,15003
-0.02708025603151157,0.041980491418693665,1.0068337129840548,0.061035156,0.0534057615,-0.1296997065,-122.1,-227.7,-70.5,15288
-0.018586903003446578,0.04062229904926534,1.0065939335811054,0.0686645505,-0.0076293945,-0.137329101,-129.29999999999998,-227.7,-68.7,15574
-0.013417035942885278,0.05235214223978269,1.0069536026855292,0.0381469725,0.015258789,-0.1754760735,-126.89999999999999,-230.1,-67.5,15859
-0.010585918266863614,0.05543894307939252,1.0055149262678336,0.0228881835,0.076293945,0.0076293945,-124.5,-230.1,-68.1,16145
-0.016986706056129987,0.05371033460921101,1.005754705670783,0.0534057615,0.0686645505,-0.183105468,-124.5,-230.1,-66.89999999999999,16429
-0.023879862136878385,0.04099271515001852,1.0059944850737321,-0.0076293945,0.0,0.0228881835,-126.89999999999999,-232.5,-68.7,16715
-0.024618414574101428,0.03741202617607112,1.0074331614914278,-0.0839233395,0.0076293945,-0.061035156,-131.7,-227.7,-68.7,17000
